author,title,description,url,source,content
,Fresh Storm Bert wind warning comes into force,A yellow wind warning comes into effect across Northern Ireland until 18:00 GMT on Sunday.,https://www.bbc.com/news/articles/c6249nkgj4jo,2024-11-24T11:14:32Z,"A yellow wind warning comes into place from 11:00 GMT on Sunday
A yellow warning for high winds from Storm Bert has come into effect across Northern Ireland.
On Saturday, a number of homes in count… [+1909 chars]"
,'We've had more visitors in two days than 30 years',"Residents in Shelf react to ""crazy"" interest after rare bird sighting puts village on national news.",https://www.bbc.com/news/articles/c789v6dg5pdo,2024-11-16T02:14:41Z,"Birdwatchers from the UK descended on the quiet cull-de-sac in Shelf keen to catch a glimpse of the scarlet tanager
When news a rare American songbird had been spotted in a sleepy West Yorkshire cul… [+4920 chars]"
,Pro-Palestinian demonstrators march through London,The Palestine Solidarity Campaign said the event was the 22nd march since the Israel-Gaza conflict began in October 2023.,https://www.bbc.com/news/articles/c04l4qdvgp0o,2024-11-30T16:22:51Z,"Thousands of pro-Palestinian demonstrators have been marching through central London to reiterate their calls for an immediate ceasefire in Gaza.
The march organised by the Palestine Solidarity Camp… [+2581 chars]"
Gizmodo Deals,"Forget the Fenix 8, Amazon Is Offering the Garmin Fenix 7X Pro Sapphire Solar at a Record Low Price","The Garmin Fenix 7X Pro Sapphire Solar is one of the most high-performing, stylish, and sophisticated smartwatches available today.",https://gizmodo.com/forget-the-fenix-8-amazon-is-offering-the-garmin-fenix-7x-pro-sapphire-solar-at-a-record-low-price-2000529288,2024-11-25T12:10:12Z,"The Garmin Fenix 7 series is currently available at unprecedented (and huge) discounts for Black Friday on Amazon. If you were considering buy an advanced multisport GPS smartwatches, now is the perf… [+3542 chars]"
Lucas Ropek,New York Times Tech Guild Ends Strike Without a Deal,The action lasted approximately a week and led to no new contract negotiations.,https://gizmodo.com/new-york-times-tech-guild-ends-strike-without-a-deal-2000523328,2024-11-12T14:40:10Z,"In September, the New York Times Tech Guild authorized a strike against the paper. We are sending Times management a strong message with our vote today, said Kathy Zhang, a Senior Analytics Manager a… [+2668 chars]"
,"Bank Holiday airport chaos made worse by password issue, report says","An air traffic control engineer was unable to fix a major fault from home, a report says.",https://www.bbc.com/news/articles/ce8drx6v0ypo,2024-11-14T17:50:45Z,"More than 2,000 flights were grounded in August 2023
An engineer's password problem hampered efforts to resolve Bank Holiday airport chaos caused by a flight data fault, a report has said.
More tha… [+3067 chars]"
,Storm Bert brings landslide and 82mph gusts,"Ten people were rescued after a landslide near Llangollen, Denbighshire, on Saturday afternoon.",https://www.bbc.com/news/articles/c3wqy0pd5lvo,2024-11-23T17:27:08Z,"A fallen tree on the way into Bala, Gwynedd
Storm Bert is causing disruption across Wales, with weather warnings in place for high winds and heavy rain on Saturday and Sunday.
The Met Office said w… [+2923 chars]"
,Thousands without power as Storm Darragh hits Wales,A red weather warning is in force for many counties across Wales.,https://www.bbc.com/news/articles/cwy3342wdwxo,2024-12-07T07:31:17Z,"Large waves, strong winds and heavy rain batter the coast of Wales
More than 33,000 homes are without power as extreme winds and rain from Storm Darragh sweep across Wales.
A red Met Office weather… [+2625 chars]"
,Doctors call for major incident as hospital 'unsafe',Documents show one patient at Glasgow's Queen Elizabeth University Hospital was left in the back of an ambulance for six hours with a fractured hip.,https://www.bbc.com/news/articles/c1593v2jqpzo,2024-12-03T19:02:42Z,"Patients had to wait outside the Queen Elizabeth University Hospital in ambulances
Senior doctors working at a Glasgow hospital have asked for a 'major incident' to be called this week but had their… [+3741 chars]"
,Teacher who had knife pulled on him gives warning,A teacher who had a knife pulled out on him by a pupil says classroom behaviour is at its worst.,https://www.bbc.com/news/articles/c70e4ypl79yo,2024-12-06T09:42:54Z,"Steve Mitchell said pupil behaviour is at its worst after having a knife pulled out on him in class
A teacher who had a knife pulled out on him by a pupil says classroom behaviour is at its worst in… [+2950 chars]"
cjohnston@businessinsider.com (Chris Johnston),"Ford cuts 4,000 jobs in Europe amid weak demand for EVs and rising competition","The job cuts will mostly affect Germany and the UK. They follow ""significant losses"" in Ford's passenger vehicle operations and an uncertain outlook.",https://www.businessinsider.com/ford-cuts-4000-jobs-europe-weak-ev-demand-rising-competition-2024-11,2024-11-20T14:16:10Z,"Ford said it would cut 4,000 jobs in Europe by the end of 2027 amid rising competition and weaker-than-expected demand for EVs.
The job cuts will mostly affect Germany and the UK after the company s… [+1875 chars]"
Hartley Charlton,Apple Pay to Be Treated Like a Bank With Federal Scrutiny in the U.S.,"The Consumer Financial Protection Bureau (CFPB) has finalized a new rule that will bring Apple Pay and other major digital wallet services under the same oversight as banks.





The CFPB today announced that, effective 30 days after its publication in the Fe…",https://www.macrumors.com/2024/11/21/apple-pay-to-be-treated-like-a-bank/,2024-11-21T13:35:56Z,"The Consumer Financial Protection Bureau (CFPB) has finalized a new rule that will bring Apple Pay and other major digital wallet services under the same oversight as banks.
The CFPB today announced… [+1630 chars]"
,Strategies for Competing with a Tech-Driven Insurgent,London Business School’s Julian Birkinshaw discusses the benefits and drawbacks of four key strategies — and how to decide which one best fits your organization.,https://hbr.org/podcast/2024/12/strategies-for-competing-with-a-tech-driven-insurgent,2024-12-04T13:22:00Z,"HANNAH BATES: Welcome to HBR On Strategy, case studies and conversations with the world’s top business and management experts, hand-selected to help you unlock new ways of doing business.
Looking at… [+26523 chars]"
,Human disruption is driving 'winner' and 'loser' tree species shifts across Brazilian forests,"Fast-growing and small-seeded tree species are dominating Brazilian forests in regions with high levels of deforestation and degradation, a new study shows. This has potential implications for the ecosystem services these forests provide, including the abilit…",https://www.sciencedaily.com/releases/2024/12/241210115438.htm,2024-12-10T16:54:38Z,"Fast-growing and small-seeded tree species are dominating Brazilian forests in regions with high levels of deforestation and degradation, a new study shows.This has potential implications for the eco… [+4651 chars]"
Lucas Ropek,"Billionaire Marc Benioff, Owner of Time, Uses Magazine to Promote His AI Software",Benioff wants you to get excited for the AI revolution.,https://gizmodo.com/billionaire-marc-benioff-owner-of-time-uses-magazine-to-promote-his-ai-software-2000531146,2024-12-01T17:10:28Z,"When he’s not buying up a weird amount of land in Hawaii or forcing his workers back into the office, billionaire Salesforce CEO Marc Benioff is busy promoting the artificial intelligence technology … [+5026 chars]"
Matt Novak,Sweden’s Government-Issued Pamphlet for Surviving War Has a Long History,Russia's invasion of Ukraine has alarmed neighboring countries and Sweden's bringing back its guide to surviving war.,https://gizmodo.com/swedens-government-issued-pamphlet-for-surviving-war-has-a-long-history-2000528093,2024-11-23T16:00:37Z,"Sweden released a new pamphlet for citizens this week with survival tips in case the country ever goes to war. The government-issued publication covers topics like how to stop bleeding, the differenc… [+5418 chars]"
Ben Lovejoy,Tim Cook and 20 other CEOs met China’s premier to discuss potential issues with Trump plans,"Apple CEO Tim Cook and more than 20 other chief execs met China’s premier today to discuss potential trade disruption once Trump takes office in January.



However, the report makes it sound like the meeting didn’t achieve much, with some saying it felt scri…",https://9to5mac.com/2024/11/25/tim-cook-and-20-other-ceos-met-chinas-premier-to-discuss-potential-issues-with-trump-plans/,2024-11-25T15:12:00Z,"Apple CEO Tim Cook and more than 20 other chief execs met China’s premier today to discuss potential trade disruption once Trump takes office in January.
However, the report makes it sound like the … [+2341 chars]"
,Thousands in Northern Ireland still without power after Storm Darragh,NIE Networks says it may be a number of days before all affected customers are reconnected.,https://www.bbc.com/news/articles/c0lgg2l2x75o,2024-12-08T10:48:19Z,"Customers are being told it may be a number of days before they are reconnected
Community assistance centres will open later for the thousands of households who are still without power after Storm D… [+4405 chars]"
,Pubs warn Guinness being limited could 'cripple' their business,Pubs say they're trying to find alternative stouts as wholesalers put limits on how much Guinness they can get.,https://www.bbc.com/news/articles/c4gzwxw4y18o,2024-12-08T16:57:16Z,"Steven Crosbie says he expects people to go from ""bar to bar"" in search of places that are still stocking Guinness if supply shortages reach a head
""If I can't get it in it will probably cripple me.… [+4775 chars]"
Stephen Schenck,"ChatGPT is down, as OpenAI reports major outage","In the second big service disruption of the day, now it's OpenAI's turn to feel the heat as its API and ChatGPT go offline.",https://www.androidauthority.com/openai-outage-3507961/,2024-12-11T23:57:35Z,"<ul><li>OpenAI is currently suffering a widespread outage.</li><li>ChatGPT, Sora, and access to the companys API are all affected.</li></ul>
Today is just not the day to be a major tech player, as m… [+921 chars]"
Lucia Moses,Gary Vaynerchuk doubled his agency's revenue in 5 years. AI could make that growth more difficult in the future.,Serial entrepreneur Gary Vaynerchuk built an ad empire helping companies like PepsiCo master social media. But firms like his have had to diversify.,https://www.businessinsider.com/gary-vaynerchuk-vaynerx-doubled-advertising-agency-revenue-ai-future-2024-12,2024-12-09T09:53:02Z,"Gary Vaynerchuk speaks during his entrepreneurship festival, VeeCon 2024.Chelsea Guglielmino/Getty Images
<ul><li>Gary Vaynerchuk says his company, VaynerX, is set to surpass $300 million in revenue… [+4703 chars]"
Connor Jones,Mega US healthcare payments network restores system 9 months after ransomware attack,"Change Healthcare’s $2 billion recovery is still a work in progress
Still reeling from its February ransomware attack, Change Healthcare confirms its clearinghouse services are back up and running, almost exactly nine months since the digital disruption began…",https://www.theregister.com/2024/11/20/change_healthcares_clearinghouse_services/,2024-11-20T18:01:08Z,"Still reeling from its February ransomware attack, Change Healthcare confirms its clearinghouse services are back up and running, almost exactly nine months since the digital disruption began.
In an… [+4303 chars]"
,What is happening in north-western Syria and why now?,Rebels have captured a swathe of land during their largest offensive against the government in years.,https://www.bbc.com/news/articles/c99x0l1d432o,2024-12-02T18:10:45Z,"HTS and its allies said they launched the offensive to deter aggression by the government
Rebel forces have launched their largest offensive against the Syrian government in years.
They have captur… [+5950 chars]"
Dan Taylor,"Communicating The Impact Of AI On SEO To C-Level via @sejournal, @TaylorDanRW","Turn AI disruption into SEO opportunity. Engage C-levels with insights on trends, strategies, and measurable outcomes.
The post Communicating The Impact Of AI On SEO To C-Level appeared first on Search Engine Journal.",https://www.searchenginejournal.com/communicating-the-impact-of-ai-on-seo-to-c-level/534740/,2024-12-12T12:00:44Z,"AI has emerged as one of the most transformative and disruptive forces in marketing as an industry in a long time, probably the most impactful since the mass adoption of the internet.
It will contin… [+8036 chars]"
Melanie Vásquez Russell,UPS facility fire in Athens under investigation,A large fire broke out at a United Parcel Service (UPS) facility in Athens early Wednesday morning and the company is working with authorities as an...,https://www.wate.com/news/ups-facility-fire-in-athens-under-investigation/,2024-12-04T14:52:26Z,"ATHENS, Tenn. (WATE) A large fire broke out at a United Parcel Service (UPS) facility in Athens early Wednesday morning and the company is working with authorities as an investigation is underway. De… [+1733 chars]"
Zack Zwiezen,Grab 18 Free Amazon Prime Games This Month That You'll Definitely Play One Day,"‘Tis the season for gifts and more gifts, and Amazon is in the gift-giving mood. The company is providing Prime members with 18 free video games this December.Read more...",https://kotaku.com/amazon-prime-gaming-free-games-18-december-2024-steam-1851712727,2024-12-03T22:30:00Z,"Tis the season for gifts and more gifts, and Amazon is in the gift-giving mood. The company is providing Prime members with 18 free video games this December.
Each month, Amazon Prime members can gr… [+1688 chars]"
tmohamed@insider.com (Theron Mohamed),"Putin tells Russians there's no reason to panic as the ruble sinks, but analysts say its economy is in trouble","Vladimir Putin dismissed the ruble's latest tumble, but analysts say falling oil prices and sanctions spell problems for Russia's economy.",https://www.businessinsider.com/russia-ruble-dollar-currency-putin-ukraine-war-economy-inflation-military-2024-11,2024-11-29T12:50:15Z,"Russians shouldn't stress about the ruble tumbling to two-year lows, Vladimir Putin said Thursday. Analysts told Business Insider there was plenty of cause for concern.
The Russian leader told repor… [+3273 chars]"
Simon Sharwood,Supply chain management vendor Blue Yonder succumbs to ransomware,"And it looks like major UK retailers that rely on it are feeling the pinch
US-based supply chain SaaS vendor Blue Yonder has revealed a service disruption caused by ransomware, and its customers are reportedly struggling to get goods onto shelves as a result.…",https://www.theregister.com/2024/11/26/blue_yonder_ransomware/,2024-11-26T01:27:10Z,"US-based supply chain SaaS vendor Blue Yonder has revealed a service disruption caused by ransomware, and its customers are reportedly struggling to get goods onto shelves as a result.
The vendor la… [+2109 chars]"
Lara O'Reilly,The $13 billion Omnicom-IPG megamerger reflects a new era as Big Tech and AI upend the ad industry,"The deal to create the world's biggest ad-agency company reflects a challenged sector and the importance of scale, data, and AI to remain competitive.",https://www.businessinsider.com/omnicom-ipg-deal-signals-major-shift-ad-agency-market-2024-12,2024-12-09T14:14:55Z,"Omnicom CEO John Wren.Getty Images
<ul><li>Omnicom and Interpublic Group plan a $13.25 billion merger that would create the world's largest ad-agency company.</li><li>Industry insiders say the deal … [+6871 chars]"
,"Adobe Gives Tepid Sales Outlook, Stoking AI Disruption Fears",,https://consent.yahoo.com/v2/collectConsent?sessionId=1_cc-session_b6f56d9a-90f5-4b23-aa44-f9a025abd63f,2024-12-11T21:38:21Z,"If you click 'Accept all', we and our partners, including 237 who are part of the IAB Transparency &amp; Consent Framework, will also store and/or access information on a device (in other words, use … [+678 chars]"
,Cheap dates and close contact: How people are falling in love on climbing walls,Climbers say they didn't start bouldering to find a partner - but it ended up happening along the way.,https://www.bbc.com/news/articles/cj4vre2j4qqo,2024-12-07T00:48:28Z,"Kellie and Jack met at the Climbing Depot in Sheffield
Megumi and Gordon McKillop didn't meet on a dating app, or at work, or through a mutual friend.
Instead, they met when Megumi was attempting a… [+7592 chars]"
Chris Oberholtz,Drone video shows New York town buried after thundersnow jolts region with over 4 feet of snow,"A historic winter storm, fueled by powerful lake-effect snow, has crippled portions of western and northern New York.",https://www.foxweather.com/extreme-weather/thundersnow-copenhagen-watertown-ny-snow,2024-12-02T17:19:05Z,"Yahoo is using AI to generate takeaways from this article. This means the info may not always match what's in the article. Reporting mistakes helps us improve the experience.Generate Key Takeaways
C… [+2283 chars]"
Sarah Fortinsky,Mexico’s president on Trump threat: ‘One tariff would be followed by another in response’,"Mexican President Claudia Sheinbaum threatened to retaliate with her own tariffs against the United States, after President-elect Trump suggested he would...",https://thehill.com/business/trade/5010164-mexico-threatens-tariffs-us/,2024-11-26T16:40:29Z,"Yahoo is using AI to generate takeaways from this article. This means the info may not always match what's in the article. Reporting mistakes helps us improve the experience.Generate Key Takeaways
M… [+2469 chars]"
,Gaza aid supply goes from ‘bad to worse’ after Israel misses US deadline,Palestinians are forced to queue for hours for food they say is scarce due to Israel’s disruption of aid to the enclave.,https://www.aljazeera.com/program/newsfeed/2024/11/14/gaza-aid-supply-goes-from-bad-to-worse-after-israel-misses-us-deadline,2024-11-14T12:46:42Z,"NewsFeed
Palestinians are forced to queue for hours for food they say is scarce due to Israels disruption of aid to the enclave, despite the US setting a deadline for the military to improve the con… [+7 chars]"
,Seoul blanketed by heaviest November snow on record,"At least one person is reported to have died as a result of the weather, which has also grounded flights.",https://www.bbc.com/news/articles/cpqdgw7lzw0o,2024-11-27T12:51:18Z,"Seoul has recorded its heaviest November snowfall since records began over a century ago in 1907.
The South Korean capital was covered with at least 16 cm of snow on Wednesday - beating the city's p… [+1001 chars]"
Michael Nuñez,Pin thinks AI can fix recruitment’s biggest problems — and it has the numbers to prove it,"Pin emerges from stealth with $3M funding to transform AI-powered recruitment, achieving 70% candidate match rates and reducing hiring time from 60 days to two weeks through proprietary machine learning models.",https://venturebeat.com/ai/pin-thinks-ai-can-fix-recruitments-biggest-problems-and-it-has-the-numbers-to-prove-it/,2024-12-12T11:00:00Z,"Join our daily and weekly newsletters for the latest updates and exclusive content on industry-leading AI coverage. Learn More
Pin, an artificial intelligence-powered recruitment platform that autom… [+3241 chars]"
Reuters,Starbucks faces disruptions following ransomware attack on software supplier,The coffee giant said that an outage at a third-party vendor has disrupted a back-end Starbucks process that enables employee scheduling and time tracking.  ...,https://finance.yahoo.com/news/starbucks-faces-disruptions-following-ransomware-201734823.html,2024-11-25T20:17:34Z,"(Reuters) - Starbucks said the aftermath of a ransomware attack on a software supplier has been affecting its ability to pay baristas and manage their schedules, the company's spokesperson said on Mo… [+724 chars]"
Jacques Schuster,Frankreich erlebt Weimarer Verhältnisse,Die Vorgänge um das Ende der Regierung in Frankreich erinnern an die politischen Grabenkämpfe in der Weimarer Republik. Nun folgt die Unregierbarkeit. Das Beispiel zeigt einmal mehr: Disruption um der Disruption willen ist ein Spiel mit dem Feuer.,https://www.welt.de/debatte/kommentare/article254788312/Regierungskrise-Frankreich-erlebt-Weimarer-Verhaeltnisse.html,2024-12-06T14:32:56Z,"In Frankreich hat eine üble Verbindung aus linken und rechten Egomanen die Regierung und damit das Land in eine tiefe Krise gestürzt. Es kamen zwei Kräfte zusammen, die nur im Kampf gegen die Mitte g… [+1441 chars]"
Srishti Mitra,"Vaulted Tiny Home Seems To Float Above The Ground, While Seamlessly Merging Indoors & Outdoors","Vaulted Tiny Home Seems To Float Above The Ground, While Seamlessly Merging Indoors & OutdoorsStudio Tololo Ugarte designed a luxurious and sophisticated vaulted tiny home called the Catalejo. Catalejo translates to Spyglass, and the home is heavily inspired …",https://www.yankodesign.com/2024/12/03/vaulted-tiny-home-seems-to-float-above-the-ground-while-seamlessly-merging-indoors-outdoors/,2024-12-03T14:20:17Z,"Studio Tololo Ugarte designed a luxurious and sophisticated vaulted tiny home called the Catalejo. Catalejo translates to Spyglass, and the home is heavily inspired by the surrounding landscape. The … [+2168 chars]"
ldodgson@insider.com (Lindsay Dodgson),Trump's election victory put TikTok's astrology community into a meltdown,"Astrologers on TikTok, who foresaw a Harris victory, face backlash and trust issues after Trump's re-election challenged their predictions.",https://www.businessinsider.com/trump-victory-put-tiktoks-astrology-community-into-a-meltdown-2024-11,2024-11-13T13:55:47Z,"The astrology community on TikTok is mighty, but trust in the stars has wavered over the past week.
Many popular astrology creators predicted that Kamala Harris would win the 2024 election. However,… [+5197 chars]"
Judy Sanhz,This cybersecurity disaster made Google’s top 10 searches of 2024,Google Year in Search 2024 list included the calamitous CrowdStrike incident that led to the largest IT outage ever.,https://www.digitaltrends.com/computing/crowdstrikes-fiasco-makes-it-to-googles-top-10-searches/,2024-12-10T21:01:15Z,"Google recently released its Year in Search 2024, with a wide range of different topics reaching the top 10. Among major events like the Olympics and the U.S. presidential election is one name you ma… [+1818 chars]"
Brice Haziza,Actualité : Vers une annulation d'Artemis pour envoyer directement l'Homme sur Mars grâce au Starship ?,"La disruption serait-elle en marche dans le programme spatial des États-Unis ? Depuis l'élection de Donald Trump et la nomination d'Elon Musk à son cabinet, de plus en plus de rumeurs s'attaquent au programme lunaire étasunien. Il serait trop coûteux pour que…",https://www.lesnumeriques.com/astronomie-conquete-spatiale/vers-une-annulation-d-artemis-pour-envoyer-directement-l-homme-sur-mars-grace-au-starship-n228938.html,2024-11-18T07:39:00Z,"L'arrivée d'Elon Musk dans l'équipe du président Trump laisse entrevoir une nouvelle politique spatiale américaine et des objectifs redéfinis.
© Générée sur Bing Creator par Brice Haziza
Artemis a … [+5349 chars]"
Ivana Kottasová,Mystery fault takes out undersea internet cable between Germany and Finland,"An unexplained fault in an undersea telecommunications cable linking Finland and Germany has disrupted communication services, the company that runs the link said Monday.",https://www.cnn.com/2024/11/18/europe/undersea-cable-disrupted-germany-finland-intl/index.html,2024-11-18T14:31:17Z,"An unexplained fault in an undersea telecommunications cable linking Finland and Germany has disrupted communication services, the company that runs the link said Monday.
The C-Lion1 cable that conn… [+1483 chars]"
,Iranian rapper freed after after death sentence overturned,Toomaj Salehi was arrested and later sentenced to death after supporting anti-government protests.,https://www.bbc.com/news/articles/cx269dr42vko,2024-12-02T11:17:28Z,"An Iranian rapper who was sentenced to death for supporting anti-government protests has been released from prison after two years.
Toomaj Salehi was arrested in October 2022 after publicly supporti… [+1579 chars]"
EditorDavid,'Hour of Code' Cartoon Includes a Shout-Out to AI,"Nonprofit Code.org has posted this year's cartoon for ""Hour of Code,"" their annual learn-to-code event for schoolchildren. 

Long-time Slashdot reader theodp notes its animated pigeon gives a shout-out to the AI that could ultimately replace programmers:

In …",https://news.slashdot.org/story/24/11/30/2343244/hour-of-code-cartoon-includes-a-shout-out-to-ai,2024-12-01T16:34:00Z,"This post wasnâ(TM)t written by AI, I promise, but the first disruption on my list is AI commenting. If Slashdot stories are more interesting with astute or funny comments, then while not have AI mak… [+3785 chars]"
ASSOCIATED PRESS,Macy’s Thanksgiving Day Parade Interrupted by Protests Leading to Multiple Arrests,"The Macy's Thanksgiving Day Parade marched into its second century on Thursday, but it wasn't without its interruptions.",https://time.com/7198971/macys-thanksgiving-day-parade-2024-protests-arrests/,2024-11-28T18:37:25Z,"NEW YORK The Macy's Thanksgiving Day Parade marched, soared and roared into its second century on Thursday despite a drenching rain and a brief disruption from pro-Palestinian demonstrators.
New Yor… [+3176 chars]"
Dan DeFrancesco,"Insider Today: Bernie talks Elon, RFK Jr.","In this Saturday edition of Insider Today, we're talking about Bernie Sanders' plans to work with Elon Musk and Robert F. Kennedy, Jr.",https://www.businessinsider.com/insider-today-bernie-sanders-elon-musk-rfk-jr-2024-12,2024-12-08T11:37:01Z,"Tom Williams/Getty,The Washington Post/Getty,Jason Mendez/Getty, Tyler Le/BI
<ul><li>This post originally appeared in the Insider Today newsletter.</li><li>You can sign up for Business Insider's dai… [+5859 chars]"
Ana Altchek,Marc Andreessen talks DOGE and Elon Musk: 'It's time to carve this government back in size and scope',Marc Andreessen pointed to Elon Musk's text to Twitter's old CEO as an example of how federal workers could be held accountable for their time.,https://www.businessinsider.com/marc-andreessen-joe-rogan-podcast-elon-musk-doge-government-2024-11,2024-11-27T17:45:22Z,"Marc Andreessen spoke about DOGE in an interview with Joe Rogan published on Tuesday.Steve Jennings/Getty
<ul><li>Marc Andreessen discussed Elon Musk and the Department of Government Efficiency on J… [+4151 chars]"
